Noo,8,jing,wei
55,2018-04-01 00:00:39,121.324482,31.166213
55,2018-04-01 00:00:49,121.324477,31.166218
55,2018-04-01 00:00:59,121.32448500000001,31.166215
62,2018-04-01 00:00:05,121.41934499999999,31.154420000000002
62,2018-04-01 00:00:15,121.41921299999998,31.154313000000002
62,2018-04-01 00:00:35,121.417805,31.15292
62,2018-04-01 00:00:45,121.416905,31.152075
62,2018-04-01 00:00:55,121.41603500000001,31.151125
67,2018-04-01 00:00:09,121.46965,31.276621999999996
67,2018-04-01 00:00:19,121.46965,31.276621999999996
67,2018-04-01 00:00:39,121.469647,31.276615000000003
67,2018-04-01 00:00:49,121.469647,31.276615000000003
67,2018-04-01 00:00:59,121.469647,31.276615000000003
72,2018-04-01 00:00:05,121.346538,31.281722
72,2018-04-01 00:00:15,121.346538,31.281723
72,2018-04-01 00:00:35,121.34653999999999,31.281727000000004
72,2018-04-01 00:00:45,121.346542,31.281723
72,2018-04-01 00:00:55,121.34654499999999,31.28172
77,2018-04-01 00:00:05,121.36888700000002,31.261202
77,2018-04-01 00:00:15,121.36888700000002,31.261202
77,2018-04-01 00:00:35,121.36888700000002,31.261202
77,2018-04-01 00:00:45,121.36888799999998,31.261202
77,2018-04-01 00:00:55,121.36888799999998,31.261202
87,2018-04-01 00:00:03,121.386693,31.332403000000003
87,2018-04-01 00:00:13,121.386693,31.332403000000003
87,2018-04-01 00:00:33,121.386693,31.332403000000003
87,2018-04-01 00:00:43,121.386693,31.332403000000003
87,2018-04-01 00:00:53,121.386692,31.332397999999998
93,2018-04-01 00:00:03,121.362435,31.334297999999997
93,2018-04-01 00:00:13,121.362435,31.334297999999997
93,2018-04-01 00:00:33,121.362435,31.334297999999997
93,2018-04-01 00:00:43,121.362435,31.334297999999997
93,2018-04-01 00:00:53,121.36243999999999,31.334302
94,2018-04-01 00:00:04,121.35946000000001,31.230968
94,2018-04-01 00:00:14,121.359478,31.230992999999998
94,2018-04-01 00:00:34,121.359495,31.231002
94,2018-04-01 00:00:44,121.359477,31.230975
94,2018-04-01 00:00:54,121.35946299999999,31.230971999999998
95,2018-04-01 00:00:06,121.419625,31.290028000000003
95,2018-04-01 00:00:17,121.417728,31.289902
95,2018-04-01 00:00:36,121.41538999999999,31.289796999999997
95,2018-04-01 00:00:47,121.41538999999999,31.289796999999997
95,2018-04-01 00:00:56,121.41538999999999,31.289796999999997
109,2018-04-01 00:00:07,121.595555,31.268817
109,2018-04-01 00:00:17,121.595555,31.268817
109,2018-04-01 00:00:37,121.595555,31.268808
109,2018-04-01 00:00:47,121.595555,31.268808
109,2018-04-01 00:00:57,121.595555,31.268808
111,2018-04-01 00:00:06,121.58254699999999,31.087937
111,2018-04-01 00:00:16,121.582548,31.087934999999998
111,2018-04-01 00:00:36,121.582553,31.087932000000002
111,2018-04-01 00:00:46,121.582558,31.08793
111,2018-04-01 00:00:56,121.58256200000001,31.087928
126,2018-04-01 00:00:07,121.407797,31.301848
126,2018-04-01 00:00:17,121.407797,31.301848
126,2018-04-01 00:00:37,121.40778999999999,31.301852
126,2018-04-01 00:00:47,121.40778999999999,31.301852
126,2018-04-01 00:00:57,121.40778999999999,31.301852
129,2018-04-01 00:00:06,121.512902,31.031838
129,2018-04-01 00:00:16,121.51291499999999,31.031847999999997
129,2018-04-01 00:00:36,121.51296299999998,31.031834999999997
129,2018-04-01 00:00:46,121.51298500000001,31.031828000000004
129,2018-04-01 00:00:56,121.51301799999999,31.031816999999997
133,2018-04-01 00:00:06,121.29727199999999,31.172884999999997
133,2018-04-01 00:00:16,121.29727199999999,31.172884999999997
133,2018-04-01 00:00:36,121.29726799999999,31.172884999999997
133,2018-04-01 00:00:46,121.29726799999999,31.172884999999997
133,2018-04-01 00:00:56,121.29726799999999,31.172884999999997
146,2018-04-01 00:00:09,121.417773,31.371058
146,2018-04-01 00:00:19,121.417773,31.371058
146,2018-04-01 00:00:39,121.417775,31.371057
146,2018-04-01 00:00:49,121.417775,31.371057
146,2018-04-01 00:00:59,121.417775,31.371057
147,2018-04-01 00:00:03,121.377958,31.278977
147,2018-04-01 00:00:13,121.37786299999999,31.278932
147,2018-04-01 00:00:34,121.37786299999999,31.278932
147,2018-04-01 00:00:44,121.37786299999999,31.278932
147,2018-04-01 00:00:54,121.37786299999999,31.278932
148,2018-04-01 00:00:07,121.52573799999999,31.125992
148,2018-04-01 00:00:17,121.52573799999999,31.125992
148,2018-04-01 00:00:37,121.52573799999999,31.125992
148,2018-04-01 00:00:47,121.52573799999999,31.125992
148,2018-04-01 00:00:57,121.52573799999999,31.125992
